label,modularity_class
CONSOLE_USB,188
PCIEXP_PLUGIN_SUPPORT,79
SUPERIO_WINBOND_COMMON_ROMSTAGE,80
TTYS0_BAUD,172
CPU_ALLWINNER_A10,81
HAVE_MP_TABLE,82
SOUTHBRIDGE_VIA_VT8237R,83
ROMCC,84
NUM_IPI_STARTS,85
DRIVERS_I2C_W83795,86
LOGICAL_CPUS,87
PAYLOAD_DEPTHCHARGE,206
COREBOOT_ROMSIZE_KB_64,187
CPU_INTEL_SOCKET_PGA370,88
FMD_GENPARSER,89
ARCH_BOOTBLOCK_ARMV8_64,264
X86EMU_DEBUG_MEM,149
POST_DEVICE,73
SPI_FLASH_AMIC,232
HAVE_CMOS_DEFAULT,152
DRIVERS_I2C_W83793,90
CPU_INTEL_SOCKET_MPGA479M,91
SUPERIO_FINTEK_COMMON_ROMSTAGE,92
ARCH_RAMSTAGE_POWER8,93
ACPI_SATA_GENERATOR,94
SUPERIO_SMSC_LPC47N207,95
CPU_AMD_GEODE_LX,96
IOAPIC_INTERRUPTS_ON_APIC_SERIAL_BUS,79
PAYLOAD_SEABIOS,206
NVRAMCUI_SECONDARY_PAYLOAD,249
CONSOLE_SERIAL_19200,172
ARCH_VERSTAGE_MIPS,97
ARM64_SECURE_OS_FILE,231
BOARD_ID_AUTO,400
SUPERIO_ITE_COMMON_ROMSTAGE,98
SOUTHBRIDGE_VIA_K8T890,99
ARCH_ROMSTAGE_ARM,267
UDELAY_IO,147
EC_GOOGLE_CHROMEEC_I2C_CHIP,171
CONSOLE_QEMU_DEBUGCON_PORT,79
CONSOLE_SERIAL_57600,172
CPU_MICROCODE_MULTIPLE_FILES,34
CPU_AMD_MODEL_10XXX,100
USBDEBUG_HCD_INDEX,188
SUPERIO_WINBOND_W83667HG_A,80
HAVE_ACPI_TABLES,79
SOUTHBRIDGE_INTEL_FSP_BD82X6X,101
ARCH_RAMSTAGE_X86_32,249
ALWAYS_LOAD_OPROM,206
POST_DEVICE_NONE,73
HAVE_MONOTONIC_TIMER,147
HUDSON_DISABLE_IMC,102
BOOT_MEDIA_SPI_BUS,232
YABEL_VIRTMEM_LOCATION,149
SOUTHBRIDGE_INTEL_I82801AX,103
BOOTMODE_STRAPS,104
DRIVER_TPM_I2C_ADDR,264
SUPERIO_WINBOND_W83627DHG,80
SOUTHBRIDGE_AMD_AMD8111,105
SUPPORT_CPU_UCODE_IN_CBFS,106
HAVE_USBDEBUG_OPTIONS,232
DRIVERS_I2C_I2CMUX2,107
MAINBOARD_PART_NUMBER,108
SOC_INTEL_BAYTRAIL,109
CPU_AMD_SOCKET_AM2,110
CPU_AMD_SOCKET_AM3,111
DRIVERS_DEC_21143,112
