label,modularity_class
FEATURE_LESS_BRACKETS,46
FEATURE_MODPROBE_SMALL_CHECK_ALREADY_LOADED,70
FEATURE_FIND_PATH,161
FEATURE_VI_MAX_LEN,168
FEATURE_AWK_LIBM,168
FEATURE_DATE_ISOFMT,70
FEATURE_INETD_SUPPORT_BUILTIN_DAYTIME,12
FEATURE_INDIVIDUAL,217
FEATURE_WGET_TIMEOUT,186
FEATURE_VI_COLON,168
FEATURE_LS_FOLLOWLINKS,38
TTYSIZE,42
FEATURE_FIND_REGEX,161
NTPD,70
RENICE,43
GZIP,186
TELNETD,12
TCPSVD,44
RESET,45
FEATURE_TOUCH_SUSV3,214
FEATURE_FIND_PAREN,161
FEATURE_IPCALC_FANCY,186
LESS,46
FEATURE_IFCONFIG_BROADCAST_PLUS,26
DESKTOP,68
FEATURE_DF_FANCY,38
KILL,92
UDHCPC_SLACK_FOR_BUGGY_SERVERS,60
FEATURE_VOLUMEID_JFS,37
FDISK_SUPPORT_LARGE_DISKS,118
LSPCI,47
IONICE,70
SYSROOT,48
FEATURE_LS_USERNAME,38
LSATTR,70
FEATURE_TFTP_PROGRESS_BAR,74
FEATURE_COMPRESS_USAGE,202
FEATURE_MDEV_LOAD_FIRMWARE,120
ASH_JOB_CONTROL,217
RX,70
TFTP_DEBUG,74
FEATURE_VI_UNDO,168
RM,49
FEATURE_GZIP_LEVELS,186
ROUTE,26
FEATURE_IFUPDOWN_EXTERNAL_DHCP,26
FEATURE_CHAT_CLR_ABORT,84
FEATURE_2_4_MODULES,70
LZOP,50
LPR,51
LPQ,52
FEATURE_NETSTAT_PRG,70
FEATURE_VOLUMEID_CRAMFS,37
DEPMOD,70
LPD,53
STRINGS,54
FEATURE_SUID_CONFIG_QUIET,204
BB_SYSCTL,55
FLASH_LOCK,56
HOSTID,57
FEATURE_BUFFERS_GO_ON_STACK,58
FEATURE_MOUNT_LABEL,1
FEATURE_VOLUMEID_SQUASHFS,37
SETSEBOOL,73
MKFS_REISER,70
FEATURE_TAR_TO_COMMAND,73
FEATURE_INETD_SUPPORT_BUILTIN_DISCARD,12
GETTY,12
NBDCLIENT,59
FEATURE_SHOW_THREADS,68
UDHCPD,60
ADD_SHELL,68
HAVE_DOT_CONFIG,61
UDHCPC,60
BOOTCHARTD,129
FEATURE_GREP_EGREP_ALIAS,141
LOSETUP,70
STAT,70
LOADKMAP,70
FEATURE_WGET_STATUSBAR,186
TRUNCATE,62
HTTPD,63
LOGIN_SESSION_AS_CHILD,12
FEATURE_KLOGD_KLOGCTL,70
FEATURE_HWCLOCK_LONG_OPTIONS,186
RTCWAKE,70
FEATURE_KILL_REMOVED,117
FEATURE_FIND_DELETE,161
FEATURE_NOLOGIN,12
FLASH_ERASEALL,64
FEATURE_PIDFILE,105
FEATURE_FIND_PRINT0,161
ETHER_WAKE,70
POPMAILDIR,126
TAIL,65
FEATURE_MODPROBE_BLACKLIST,70
FEATURE_UTMP,66
RDATE,67
FEATURE_INIT_COREDUMPS,117
IP,138
PSTREE,68
FAKEIDENTD,12
FEATURE_ADDUSER_TO_GROUP,186
ASH_RANDOM_SUPPORT,217
SENDMAIL,20
ED,69
DEFAULT_MODULES_DIR,70
I2CSET,70
FEATURE_PS_LONG,68
BUNZIP2,71
LAST_SYSTEM_ID,186
VCONFIG,70
FEATURE_FTPGETPUT_LONG_OPTIONS,186
ENV,186
FEATURE_SUN_LABEL,118
SCRIPTREPLAY,72
FEATURE_LS_COLOR_IS_DEFAULT,38
FEATURE_FTPD_ACCEPT_BROKEN_LIST,196
DPKG,73
TFTPD,74
SEQ,75
IFUPDOWN_IFSTATE_PATH,26
FEATURE_CROND_D,12
SCRIPT,76
FEATURE_RESIZE_PRINT,77
CRONTAB,12
CROND,12
FEATURE_INSTALL_LONG_OPTIONS,186
FEATURE_INITRD,117
FEATURE_TOPMEM,68
FEATURE_USERNAME_COMPLETION,13
FEATURE_GPT_LABEL,118
TIME,78
FEATURE_CROND_DIR,12
MAN,79
INSMOD,70
UNXZ,93
READPROFILE,80
GETENFORCE,73
FEATURE_UDHCPD_BASE_IP_ON_MAC,60
FEATURE_VI_USE_SIGNALS,168
